Gender,Height,Weight,Obesity,Workout
Male,73.84701702,241.8935632,3.275603714,1
Male,68.78190405,162.3104725,2.359784521,0
Male,74.11010539,212.7408556,2.870605222,1
Male,71.7309784,220.0424703,3.067607263,1
Male,69.88179586,206.3498006,2.952840551,1
Male,67.25301569,152.2121558,2.263276289,0
Male,68.78508125,183.9278886,2.673950299,0
Male,68.34851551,167.9711105,2.457567794,0
Male,67.01894966,175.9294404,2.625070093,0
Male,63.45649398,156.3996764,2.464675663,0
Male,71.19538228,186.6049256,2.621025684,0
Male,71.64080512,213.7411695,2.98351155,1
Male,64.76632913,167.1274611,2.580468328,0
Male,69.2830701,189.4461814,2.734379137,0
Male,69.24373223,186.434168,2.692433842,0
Male,67.6456197,172.1869301,2.545426161,0
Male,72.41831663,196.0285063,2.706891232,0
Male,63.97432572,172.8834702,2.702388314,0
Male,69.6400599,185.9839576,2.670646146,0
Male,67.93600485,182.426648,2.685271947,0
Male,67.91505019,174.1159291,2.56373114,0
Male,69.43943987,197.7314216,2.847537682,1
Male,66.14913196,149.173566,2.255109955,0
Male,75.20597361,228.7617806,3.041803325,1
Male,67.89319634,162.0066518,2.386198626,0
Male,68.1440328,192.3439766,2.822609239,1
Male,69.08963143,184.4351744,2.669505837,0
Male,72.80084352,206.8281894,2.84101364,1
Male,67.42124228,175.2139224,2.598794037,0
Male,68.49641536,154.3426389,2.253295127,0
Male,68.61811055,187.5068432,2.73261449,0
Male,74.03380762,212.9102253,2.875851346,1
Female,58.91073204,102.0883264,1.732932572,0
Female,65.23001251,141.3058226,2.166270052,0
Female,63.36900376,131.0414027,2.067910097,0
Female,64.47999743,128.1715112,1.987771655,0
Female,61.79309615,129.781407,2.100257393,0
Female,65.96801895,156.8020826,2.376940904,0
Female,62.85037864,114.9690383,1.829249731,0
Female,65.65215644,165.0830012,2.514509959,1
Female,61.89023374,111.6761992,1.804423614,0
Female,63.67786815,104.1515596,1.635600604,0
Female,68.10117224,166.5756608,2.446002841,1
Female,61.79887853,106.233687,1.719022894,0
Female,63.37145896,128.1181691,2.021701429,0
Female,58.89588635,101.6826134,1.726480739,0
Female,58.4382491,98.19262093,1.680279995,0
Female,60.80979868,126.9154633,2.087089022,0
Female,70.12865283,151.2542704,2.156811292,0
Female,62.25742965,115.7973934,1.859977099,0
Female,61.73509022,107.8668724,1.747253822,0
Female,63.05955669,145.5899291,2.308768675,0
Female,62.28683837,139.5227077,2.240003046,0
Female,61.82747755,122.7661667,1.985624702,0
Female,66.34753722,157.3809648,2.37206943,0
Female,65.32063203,145.0373756,2.220391492,0
Female,66.1038728,148.6451826,2.248660726,0
Female,64.52718203,132.6808682,2.056201186,0
Female,56.54797498,84.87212365,1.500887055,0
Female,62.73928093,138.5304211,2.208033294,0
Female,61.58519865,137.4252868,2.231466161,0
Female,62.02442483,124.6039406,2.008949554,0
